#TAG,NAME IN REPO (or git url),PURPOSE
,ripgrep,"is a faster and more intuitive replacement for grep."
,pipx,"run Python (CLI) apps in isolated environments."
,compton,"is a compositor for X to fix screen tearing."
P,ranger-fm,"is a VIM-inspired filemanager for the console."
,neovim,"is a vim-fork focused on extensibility and usability."
,tmux,"is a terminal multiplexer."
,tree,"is a recursive directory listing program."
,htop,"is a process viewer for Linux."
,fzf,"is a command-line fuzzy finder."
,fd-find,"is a fast and user-friendly alternative to 'find'."
,bat,"is a cat(1) clone with wings."
P,poetry,"is a Python dependency (and packaging) manager."
,python3-venv,"is a virtual Python environment builder."
,i3,"is a dynamic tiling window manager."
,redshift,"is a color temperature adjuster."
,feh,"is a versatile image viewer."
,highlight,"is a sourcecode highlighter."
,w3m-img,"is an image previewer for ranger related to w3m."
,xclip,"is a command line interface to X selections (clipboard)."
,universal-ctags,"is an index/tag file generator for language objects in source code."
,jq,"is a command-line JSON processor."
P,pulsemixer,"is an audio controller."
,rofi,"is a window switcher, application launcher and dmenu replacement."
P,cookiecutter,"is a utility that creates projects from templates."
,zathura,"is a costumizable pdf-viewer."
,flameshot,"is a screenshot tool."
P,mkdocs,"is a tool to serve markdown documentation."
PI,mkdocs-material,"mkdocs"
,newsboat,"is an RSS reader."
,sqlitebrowser,"is a Database Browser for SQLite."
,pdfarranger,"is an app to re-arrange and merge pdfs."
,simple-scan,"is an app to scan documents through a scanner."
,shotwell,"is a digital photo manager."
,nvtop,"GPU monitor htop-like."
,xournalpp,"handwriting notetaking software with PDF annotation support."
,inotify-tools,"monitor filesystem events."
